activity_id,customer_id,lead_id,activity_date,activity_type,channel,owner,outcome,duration_minutes
ACT-00849,CUST-0024,,2025-09-29,Meeting,Zoom,Chi Le,Follow-up Needed,45
ACT-00850,CUST-0032,,2024-06-26,Call,Zoom,An Nguyen,No Response,60
ACT-00851,CUST-0016,,2025-09-15,Meeting,Phone,Dung Pham,Completed,45
ACT-00852,CUST-0222,,2025-10-15,Call,Chat,Linh Vu,Interested,45
ACT-00853,,LEAD-0139,2024-10-06,Meeting,Email,Giang Ho,Completed,20
ACT-00854,CUST-0139,,2025-06-23,Call,Zoom,Huy Vo,Follow-up Needed,30
ACT-00855,CUST-0194,,2026-02-08,Support Follow-up,In-person,Giang Ho,Rescheduled,5
ACT-00856,CUST-0256,,2025-10-17,Support Follow-up,Email,Giang Ho,Interested,15
ACT-00857,CUST-0281,,2024-02-16,Email,In-person,An Nguyen,Completed,15
ACT-00858,CUST-0023,,2026-03-31,Email,Phone,Huy Vo,Follow-up Needed,10
ACT-00859,CUST-0144,,2025-09-17,Call,In-person,Dung Pham,Follow-up Needed,15
ACT-00860,CUST-0050,,2025-07-31,Support Follow-up,In-person,Linh Vu,No Response,20
ACT-00861,CUST-0313,,2025-01-09,Call,Zoom,Binh Tran,No Response,30
ACT-00862,,LEAD-0536,2026-01-08,Email,Email,An Nguyen,No Response,10
ACT-00863,,LEAD-0328,2026-03-16,Support Follow-up,Chat,Khanh Do,Interested,15
ACT-00864,CUST-0216,,2024-06-11,Email,Email,Chi Le,Rescheduled,20
ACT-00865,CUST-0185,,2026-01-09,WhatsApp,In-person,Giang Ho,Completed,20
ACT-00866,,LEAD-0300,2025-06-12,Email,Phone,Linh Vu,Completed,5
ACT-00867,CUST-0094,,2025-08-27,Email,Phone,Huy Vo,Completed,5
ACT-00868,CUST-0257,,2024-06-02,Meeting,Email,Khanh Do,Follow-up Needed,20
ACT-00869,CUST-0213,,2025-09-29,WhatsApp,Chat,An Nguyen,Rescheduled,10
ACT-00870,CUST-0236,,2026-01-12,Email,Email,Linh Vu,Completed,5
ACT-00871,,LEAD-0176,2024-08-21,Demo,Chat,An Nguyen,Completed,30
ACT-00872,CUST-0140,,2026-03-29,Support Follow-up,Chat,Linh Vu,Completed,15
ACT-00873,,LEAD-0458,2025-08-17,Meeting,Zoom,Binh Tran,Interested,30
ACT-00874,CUST-0161,,2024-11-17,Email,Chat,Binh Tran,Rescheduled,5
ACT-00875,,LEAD-0216,2025-04-18,WhatsApp,Phone,Huy Vo,Interested,15
ACT-00876,CUST-0030,,2025-07-25,WhatsApp,Zoom,Huy Vo,No Response,20
ACT-00877,CUST-0282,,2024-08-03,WhatsApp,Zoom,Linh Vu,Completed,5
ACT-00878,,LEAD-0018,2025-12-02,Demo,In-person,Binh Tran,Completed,45
ACT-00879,CUST-0056,,2024-07-03,Call,Chat,An Nguyen,Interested,20
ACT-00880,,LEAD-0561,2026-04-06,WhatsApp,Phone,Chi Le,Rescheduled,20
ACT-00881,,LEAD-0101,2025-06-07,Email,Phone,Linh Vu,Completed,20
ACT-00882,CUST-0306,,2024-02-07,Call,Phone,Linh Vu,Interested,15
ACT-00883,CUST-0076,,2025-08-26,WhatsApp,Email,Khanh Do,Interested,10
ACT-00884,CUST-0262,,2025-11-09,Demo,Zoom,Linh Vu,Rescheduled,15
ACT-00885,,LEAD-0046,2025-03-06,Demo,Zoom,Linh Vu,No Response,30
ACT-00886,,LEAD-0231,2024-07-14,Meeting,Zoom,Linh Vu,Completed,30
ACT-00887,CUST-0052,,2026-02-23,Email,Email,Binh Tran,Completed,15
ACT-00888,CUST-0163,,2025-03-26,Support Follow-up,Phone,Huy Vo,Completed,5
ACT-00889,CUST-0317,,2025-09-09,Support Follow-up,Email,Giang Ho,Interested,15
ACT-00890,CUST-0160,,2025-01-11,WhatsApp,Chat,Dung Pham,Completed,5
ACT-00891,CUST-0158,,2025-05-09,Call,Phone,Chi Le,Rescheduled,60
ACT-00892,,LEAD-0051,2024-07-22,Demo,Chat,Linh Vu,Completed,60
ACT-00893,,LEAD-0547,2025-09-08,Call,Phone,Linh Vu,Follow-up Needed,30
ACT-00894,CUST-0276,,2024-02-24,Email,Email,Giang Ho,Follow-up Needed,15
ACT-00895,CUST-0263,,2024-10-25,Meeting,In-person,Linh Vu,Interested,20
ACT-00896,CUST-0119,,2026-03-01,Demo,In-person,Giang Ho,Follow-up Needed,10
ACT-00897,CUST-0069,,2025-09-19,Meeting,In-person,Dung Pham,Follow-up Needed,45
ACT-00898,CUST-0061,,2024-12-29,WhatsApp,In-person,Huy Vo,No Response,10
ACT-00899,CUST-0076,,2025-11-09,Demo,Email,Binh Tran,No Response,45
ACT-00900,,LEAD-0214,2025-12-28,Call,Email,Binh Tran,Completed,20
ACT-00901,,LEAD-0312,2025-10-19,Email,Email,Dung Pham,Completed,5
ACT-00902,CUST-0191,,2024-03-11,WhatsApp,Zoom,Giang Ho,No Response,20
ACT-00903,,LEAD-0025,2025-04-22,Email,Zoom,Giang Ho,Follow-up Needed,20
ACT-00904,,LEAD-0399,2024-06-29,Support Follow-up,Phone,Huy Vo,Follow-up Needed,15
ACT-00905,CUST-0043,,2025-10-04,Demo,Zoom,Binh Tran,No Response,30
ACT-00906,CUST-0007,,2024-06-14,Email,Phone,Binh Tran,Completed,5
ACT-00907,CUST-0147,,2024-04-11,Email,Zoom,Giang Ho,Interested,20
ACT-00908,CUST-0030,,2025-12-23,WhatsApp,Zoom,Dung Pham,Interested,20
ACT-00909,CUST-0066,,2025-08-28,Support Follow-up,Email,Khanh Do,Completed,10
ACT-00910,,LEAD-0030,2026-04-11,Email,In-person,Huy Vo,Rescheduled,5
ACT-00911,CUST-0300,,2025-01-28,Support Follow-up,Email,Binh Tran,Interested,10
ACT-00912,CUST-0232,,2025-04-15,Call,Chat,Khanh Do,Rescheduled,30
ACT-00913,CUST-0040,,2024-01-02,Email,Zoom,Khanh Do,Follow-up Needed,15
ACT-00914,CUST-0017,,2024-05-17,Email,Email,Dung Pham,Completed,5
ACT-00915,CUST-0107,,2026-01-12,Demo,In-person,Dung Pham,Follow-up Needed,30
ACT-00916,CUST-0009,,2024-04-06,Demo,In-person,Binh Tran,Completed,60
ACT-00917,CUST-0207,,2024-05-03,Meeting,Zoom,An Nguyen,Interested,15
ACT-00918,CUST-0180,,2024-03-05,Demo,Zoom,Khanh Do,Follow-up Needed,30
ACT-00919,,LEAD-0144,2026-04-08,Demo,Phone,Binh Tran,No Response,15
ACT-00920,CUST-0066,,2025-01-23,Email,Phone,Huy Vo,Follow-up Needed,20
ACT-00921,,LEAD-0649,2024-12-08,Meeting,Chat,Chi Le,Interested,30
ACT-00922,CUST-0193,,2024-09-26,Call,Zoom,An Nguyen,Completed,45
ACT-00923,CUST-0092,,2026-01-30,Meeting,Zoom,Binh Tran,Interested,15
ACT-00924,,LEAD-0278,2026-03-09,Meeting,Zoom,Khanh Do,No Response,15
ACT-00925,CUST-0275,,2024-08-22,WhatsApp,Phone,Giang Ho,No Response,10
ACT-00926,,LEAD-0068,2024-09-15,Meeting,Zoom,Khanh Do,Follow-up Needed,60
ACT-00927,CUST-0247,,2024-10-26,WhatsApp,Email,Chi Le,Completed,5
ACT-00928,CUST-0302,,2025-04-13,WhatsApp,Chat,Linh Vu,Interested,15
ACT-00929,CUST-0069,,2025-12-05,Call,Zoom,An Nguyen,Interested,20
ACT-00930,CUST-0254,,2025-10-28,Demo,In-person,Binh Tran,No Response,10
ACT-00931,CUST-0192,,2025-05-29,Call,Phone,Binh Tran,Interested,45
ACT-00932,CUST-0125,,2024-03-28,Meeting,Email,Binh Tran,Completed,10
ACT-00933,CUST-0222,,2025-05-07,WhatsApp,In-person,Chi Le,Interested,5
ACT-00934,CUST-0281,,2024-03-20,WhatsApp,In-person,Binh Tran,Completed,20
ACT-00935,CUST-0164,,2025-03-09,Meeting,Email,Huy Vo,Follow-up Needed,10
ACT-00936,CUST-0281,,2025-10-29,Call,Email,Khanh Do,Follow-up Needed,60
ACT-00937,CUST-0037,,2025-01-16,Meeting,Email,Dung Pham,Completed,10
ACT-00938,CUST-0100,,2024-02-25,Email,Chat,Khanh Do,Follow-up Needed,15
ACT-00939,,LEAD-0020,2025-11-22,Meeting,Email,Chi Le,Completed,10
ACT-00940,CUST-0079,,2024-01-28,Demo,In-person,Linh Vu,Completed,20
ACT-00941,CUST-0164,,2026-01-26,WhatsApp,Chat,Chi Le,Completed,20
ACT-00942,CUST-0128,,2024-07-29,Support Follow-up,Chat,Chi Le,Completed,10
ACT-00943,CUST-0017,,2024-11-23,Email,Chat,Chi Le,Completed,10
ACT-00944,CUST-0194,,2024-05-23,Support Follow-up,Phone,Binh Tran,Rescheduled,5
ACT-00945,,LEAD-0117,2026-02-15,Email,Zoom,Giang Ho,Completed,5
ACT-00946,CUST-0090,,2025-01-07,Email,Chat,Khanh Do,Rescheduled,5
ACT-00947,,LEAD-0163,2024-09-06,Support Follow-up,Chat,Giang Ho,Completed,20
ACT-00948,CUST-0171,,2024-05-09,Email,Zoom,Chi Le,No Response,15
ACT-00949,,LEAD-0306,2025-09-16,Demo,In-person,An Nguyen,Completed,45
ACT-00950,CUST-0220,,2024-07-16,Meeting,Email,An Nguyen,Interested,45
ACT-00951,,LEAD-0254,2025-03-23,Demo,In-person,Dung Pham,Completed,45
ACT-00952,CUST-0185,,2024-06-30,WhatsApp,In-person,Dung Pham,Completed,5
ACT-00953,CUST-0091,,2025-01-27,Demo,Zoom,Huy Vo,Interested,10
ACT-00954,CUST-0200,,2024-06-10,Meeting,Email,An Nguyen,Interested,30
ACT-00955,CUST-0054,,2024-09-29,Demo,Zoom,Dung Pham,Completed,45
ACT-00956,CUST-0082,,2024-10-22,Demo,Zoom,Khanh Do,No Response,20
ACT-00957,CUST-0174,,2024-08-01,WhatsApp,Chat,Khanh Do,Completed,15
ACT-00958,,LEAD-0158,2024-10-23,Email,In-person,Linh Vu,Rescheduled,10
ACT-00959,CUST-0174,,2025-05-01,Call,Email,Linh Vu,Follow-up Needed,60
ACT-00960,,LEAD-0202,2026-02-01,Support Follow-up,Chat,Dung Pham,Completed,10
ACT-00961,,LEAD-0294,2025-02-24,WhatsApp,Zoom,Khanh Do,Completed,5
ACT-00962,CUST-0052,,2025-02-06,Support Follow-up,Chat,Chi Le,Completed,20
ACT-00963,CUST-0122,,2025-09-22,WhatsApp,Chat,Binh Tran,Completed,15
ACT-00964,,LEAD-0513,2024-03-26,Call,In-person,Dung Pham,Interested,10
ACT-00965,CUST-0012,,2025-05-24,Email,In-person,Chi Le,Completed,20
ACT-00966,CUST-0003,,2024-04-07,Meeting,Chat,Khanh Do,Follow-up Needed,45
ACT-00967,,LEAD-0020,2025-07-23,Email,In-person,Giang Ho,Interested,5
ACT-00968,CUST-0063,,2024-10-19,Demo,Email,Giang Ho,Follow-up Needed,30
ACT-00969,CUST-0166,,2025-10-19,Meeting,Email,Chi Le,Completed,60
ACT-00970,CUST-0208,,2024-07-29,Email,Chat,Binh Tran,No Response,15
ACT-00971,CUST-0203,,2025-08-09,Meeting,Chat,Binh Tran,Rescheduled,10
ACT-00972,CUST-0212,,2025-12-20,Demo,Zoom,Linh Vu,Completed,30
ACT-00973,CUST-0014,,2025-02-25,Support Follow-up,Chat,Dung Pham,Completed,10
ACT-00974,CUST-0017,,2024-04-17,Demo,Phone,Chi Le,Completed,45
ACT-00975,CUST-0206,,2026-03-05,Support Follow-up,Email,Giang Ho,Follow-up Needed,5
ACT-00976,,LEAD-0084,2024-07-18,Email,Email,Giang Ho,Rescheduled,10
ACT-00977,CUST-0215,,2025-05-08,Support Follow-up,Email,Giang Ho,No Response,5
ACT-00978,CUST-0289,,2025-07-12,Support Follow-up,Zoom,Binh Tran,Interested,5
ACT-00979,,LEAD-0506,2025-09-06,Email,Phone,Binh Tran,Rescheduled,5
ACT-00980,CUST-0006,,2024-10-16,WhatsApp,Chat,Binh Tran,Follow-up Needed,5
ACT-00981,,LEAD-0166,2024-02-09,Email,Chat,Khanh Do,Follow-up Needed,5
ACT-00982,CUST-0279,,2024-02-03,Support Follow-up,Phone,An Nguyen,Completed,10
ACT-00983,CUST-0103,,2024-09-21,WhatsApp,Zoom,Giang Ho,Interested,10
ACT-00984,,LEAD-0215,2024-11-22,Email,Phone,Khanh Do,Completed,20
ACT-00985,CUST-0050,,2025-05-12,WhatsApp,Phone,Dung Pham,Rescheduled,20
ACT-00986,CUST-0166,,2026-03-17,Demo,Phone,Binh Tran,Follow-up Needed,10
ACT-00987,CUST-0070,,2026-03-12,Support Follow-up,Phone,Giang Ho,Rescheduled,5
ACT-00988,,LEAD-0311,2025-04-20,Support Follow-up,Phone,Chi Le,Rescheduled,5
ACT-00989,CUST-0062,,2024-05-15,WhatsApp,In-person,Giang Ho,Completed,20
ACT-00990,,LEAD-0077,2026-03-02,WhatsApp,Email,Khanh Do,No Response,15
ACT-00991,CUST-0151,,2025-03-14,Email,Chat,Binh Tran,Completed,5
ACT-00992,CUST-0256,,2024-11-04,WhatsApp,Phone,Khanh Do,Completed,15
ACT-00993,CUST-0078,,2024-05-01,Meeting,Zoom,An Nguyen,Completed,15
ACT-00994,CUST-0172,,2024-08-11,Meeting,Phone,Khanh Do,Interested,30
ACT-00995,,LEAD-0190,2025-02-01,Call,In-person,Giang Ho,Follow-up Needed,20
ACT-00996,CUST-0166,,2024-06-28,Support Follow-up,In-person,Giang Ho,Follow-up Needed,5
ACT-00997,CUST-0187,,2024-10-16,Demo,Phone,Linh Vu,Interested,45
ACT-00998,,LEAD-0283,2025-06-17,WhatsApp,Zoom,Khanh Do,Completed,15
ACT-00999,CUST-0307,,2024-08-14,Call,Phone,Huy Vo,Completed,60
ACT-01000,,LEAD-0349,2025-03-19,Demo,Zoom,Khanh Do,Completed,20
ACT-01001,,LEAD-0304,2024-05-29,Email,In-person,Binh Tran,No Response,20
ACT-01002,CUST-0186,,2025-02-18,Meeting,Phone,Giang Ho,Completed,10
ACT-01003,CUST-0022,,2024-03-25,Meeting,Zoom,Binh Tran,Follow-up Needed,10
ACT-01004,,LEAD-0388,2025-06-05,Support Follow-up,In-person,Chi Le,Completed,20
ACT-01005,,LEAD-0106,2024-01-06,Call,In-person,Khanh Do,No Response,10
ACT-01006,CUST-0052,,2025-05-12,Email,Chat,Chi Le,Completed,20
ACT-01007,CUST-0257,,2026-01-07,Call,Phone,Huy Vo,Follow-up Needed,60
ACT-01008,CUST-0118,,2024-05-26,WhatsApp,Email,Chi Le,Completed,10
ACT-01009,CUST-0275,,2024-10-11,Demo,Zoom,Chi Le,No Response,20
ACT-01010,,LEAD-0606,2025-09-01,Meeting,Phone,An Nguyen,Completed,10
ACT-01011,,LEAD-0568,2024-10-01,Demo,Chat,Binh Tran,Completed,10
ACT-01012,,LEAD-0253,2024-12-21,Support Follow-up,Phone,Huy Vo,Completed,20
ACT-01013,,LEAD-0169,2026-02-23,Support Follow-up,Chat,Chi Le,Rescheduled,5
ACT-01014,,LEAD-0448,2024-10-23,Call,Zoom,Linh Vu,Interested,10
ACT-01015,CUST-0238,,2025-06-20,Email,Phone,Chi Le,Rescheduled,5
ACT-01016,,LEAD-0025,2024-11-03,Call,Chat,Giang Ho,Follow-up Needed,60
ACT-01017,,LEAD-0249,2024-11-04,Call,Chat,Huy Vo,Follow-up Needed,15
ACT-01018,,LEAD-0523,2026-02-18,Call,Zoom,Giang Ho,No Response,30
ACT-01019,,LEAD-0295,2026-01-20,Support Follow-up,Email,An Nguyen,Completed,10
ACT-01020,CUST-0114,,2026-02-13,Meeting,In-person,An Nguyen,Interested,15
ACT-01021,CUST-0300,,2026-03-02,Call,Email,Binh Tran,Completed,60
ACT-01022,CUST-0228,,2024-09-13,Email,In-person,An Nguyen,Completed,15
ACT-01023,CUST-0177,,2025-05-19,Meeting,Chat,Giang Ho,Interested,10
ACT-01024,CUST-0143,,2024-07-10,WhatsApp,Phone,Khanh Do,Interested,20
ACT-01025,CUST-0026,,2025-12-07,Meeting,Zoom,Chi Le,No Response,45
ACT-01026,CUST-0194,,2024-03-09,Support Follow-up,Phone,Khanh Do,Completed,20
ACT-01027,CUST-0232,,2026-02-13,Meeting,Zoom,Linh Vu,Follow-up Needed,10
ACT-01028,CUST-0074,,2025-03-30,Demo,Phone,Dung Pham,Completed,45
ACT-01029,CUST-0301,,2025-07-19,Call,Email,Huy Vo,Completed,10
ACT-01030,CUST-0100,,2025-05-05,Support Follow-up,In-person,Chi Le,Interested,20
ACT-01031,CUST-0155,,2025-04-15,Demo,Email,Huy Vo,Follow-up Needed,10
ACT-01032,CUST-0095,,2024-09-03,Support Follow-up,Email,Giang Ho,Completed,15
ACT-01033,CUST-0017,,2024-10-07,Call,In-person,Chi Le,Completed,60
ACT-01034,CUST-0127,,2025-02-11,WhatsApp,Phone,Huy Vo,No Response,15
ACT-01035,CUST-0300,,2024-01-30,Demo,Email,Linh Vu,Interested,30
ACT-01036,CUST-0143,,2024-06-17,Meeting,In-person,An Nguyen,Completed,15
ACT-01037,CUST-0074,,2025-09-27,Meeting,Chat,Giang Ho,Completed,15
ACT-01038,,LEAD-0330,2025-10-17,WhatsApp,Email,Khanh Do,Completed,15
ACT-01039,CUST-0072,,2025-09-11,Demo,In-person,Chi Le,Follow-up Needed,60
ACT-01040,CUST-0047,,2025-03-29,Email,Phone,Linh Vu,Completed,10
ACT-01041,CUST-0068,,2024-01-28,Meeting,Phone,Khanh Do,No Response,15
ACT-01042,,LEAD-0368,2025-12-01,Email,Chat,Chi Le,Follow-up Needed,20
ACT-01043,CUST-0244,,2024-01-06,Demo,Email,Chi Le,Follow-up Needed,10
ACT-01044,,LEAD-0125,2024-08-24,WhatsApp,Email,An Nguyen,Completed,15
ACT-01045,CUST-0078,,2024-02-16,Demo,Phone,An Nguyen,Completed,15
ACT-01046,CUST-0109,,2025-01-17,WhatsApp,Email,Linh Vu,Interested,5
ACT-01047,CUST-0002,,2024-02-29,Support Follow-up,Phone,Chi Le,Interested,15
ACT-01048,CUST-0193,,2024-05-29,Email,Zoom,Khanh Do,Interested,15
ACT-01049,,LEAD-0066,2025-06-10,Support Follow-up,Zoom,Huy Vo,Rescheduled,15
ACT-01050,CUST-0231,,2025-08-16,WhatsApp,Email,Dung Pham,Completed,15
ACT-01051,,LEAD-0223,2024-05-19,Support Follow-up,Email,Binh Tran,Rescheduled,20
ACT-01052,CUST-0274,,2026-02-25,Call,Zoom,Huy Vo,Completed,30
ACT-01053,,LEAD-0251,2025-03-30,Call,Phone,Giang Ho,Rescheduled,20
ACT-01054,CUST-0315,,2025-12-17,Call,Phone,Linh Vu,Rescheduled,30
ACT-01055,,LEAD-0439,2024-12-14,Call,Zoom,Chi Le,Interested,60
ACT-01056,,LEAD-0429,2024-03-09,Email,Phone,Chi Le,Interested,15
ACT-01057,CUST-0029,,2025-02-20,Support Follow-up,Phone,An Nguyen,Completed,10
ACT-01058,CUST-0059,,2025-02-04,Demo,Chat,Linh Vu,Completed,60
ACT-01059,,LEAD-0648,2025-03-13,Email,Zoom,Dung Pham,Completed,10
ACT-01060,CUST-0064,,2025-07-06,Meeting,Chat,Chi Le,Completed,15
ACT-01061,CUST-0265,,2026-01-07,Meeting,Chat,Huy Vo,Completed,30
ACT-01062,CUST-0147,,2024-06-04,WhatsApp,Zoom,Dung Pham,Completed,5
ACT-01063,,LEAD-0251,2025-04-09,Meeting,Email,Chi Le,Follow-up Needed,60
ACT-01064,CUST-0107,,2024-05-26,Meeting,In-person,Huy Vo,Interested,60
ACT-01065,CUST-0195,,2025-01-24,WhatsApp,Email,Chi Le,Rescheduled,15
ACT-01066,CUST-0284,,2024-07-25,Support Follow-up,In-person,Khanh Do,Completed,5
ACT-01067,,LEAD-0350,2024-08-03,WhatsApp,Email,An Nguyen,Completed,15
ACT-01068,CUST-0016,,2026-04-14,Demo,Zoom,Chi Le,Interested,30
ACT-01069,CUST-0221,,2025-03-31,Email,Zoom,Binh Tran,Follow-up Needed,20
ACT-01070,CUST-0144,,2024-11-19,Meeting,Email,Dung Pham,No Response,20
ACT-01071,CUST-0161,,2026-02-08,Demo,Chat,Linh Vu,Rescheduled,20
ACT-01072,CUST-0262,,2024-10-27,WhatsApp,In-person,Chi Le,Completed,15
ACT-01073,,LEAD-0124,2024-01-23,Meeting,In-person,Chi Le,Completed,30
ACT-01074,CUST-0291,,2025-03-04,Meeting,In-person,Huy Vo,Follow-up Needed,15
ACT-01075,,LEAD-0056,2025-03-07,Email,In-person,Khanh Do,Interested,10
ACT-01076,CUST-0119,,2026-01-27,Meeting,Phone,Linh Vu,Interested,15
ACT-01077,CUST-0138,,2024-05-21,Call,Email,Binh Tran,Completed,60
ACT-01078,CUST-0003,,2024-07-09,Email,Email,Giang Ho,Follow-up Needed,20
ACT-01079,CUST-0004,,2024-10-20,Meeting,In-person,Linh Vu,Follow-up Needed,15
ACT-01080,CUST-0267,,2024-10-25,Support Follow-up,Phone,Linh Vu,Completed,10
ACT-01081,CUST-0272,,2024-05-17,Call,Zoom,Linh Vu,Interested,15
ACT-01082,,LEAD-0198,2025-03-31,Support Follow-up,Email,An Nguyen,Rescheduled,15
ACT-01083,CUST-0203,,2025-05-14,Demo,In-person,An Nguyen,Completed,30
ACT-01084,CUST-0072,,2026-03-13,WhatsApp,In-person,Dung Pham,Completed,5
ACT-01085,,LEAD-0156,2024-01-28,Call,Chat,Giang Ho,No Response,20
ACT-01086,CUST-0130,,2026-03-02,WhatsApp,Email,Dung Pham,Rescheduled,10
ACT-01087,CUST-0232,,2025-11-22,WhatsApp,In-person,An Nguyen,Rescheduled,10
ACT-01088,,LEAD-0554,2025-09-11,Demo,In-person,Binh Tran,Interested,30
ACT-01089,CUST-0172,,2025-10-17,Support Follow-up,Zoom,Giang Ho,Follow-up Needed,10
ACT-01090,CUST-0190,,2025-03-05,Meeting,Chat,An Nguyen,Completed,15
ACT-01091,CUST-0319,,2025-01-13,Call,Chat,Dung Pham,Completed,60
ACT-01092,,LEAD-0001,2024-03-20,Call,Zoom,Giang Ho,Completed,30
ACT-01093,CUST-0272,,2026-01-02,Support Follow-up,Phone,An Nguyen,Completed,5
ACT-01094,CUST-0035,,2024-03-03,Meeting,Phone,Giang Ho,Completed,20
ACT-01095,CUST-0261,,2024-12-14,Call,Email,Huy Vo,Completed,60
ACT-01096,CUST-0141,,2025-06-11,Support Follow-up,Email,Linh Vu,Completed,15
ACT-01097,CUST-0026,,2024-07-20,Call,Chat,An Nguyen,Completed,30
ACT-01098,CUST-0163,,2025-01-25,Meeting,In-person,Binh Tran,No Response,30
ACT-01099,CUST-0019,,2024-04-03,WhatsApp,Phone,Chi Le,Follow-up Needed,5
ACT-01100,CUST-0311,,2025-06-23,Support Follow-up,Chat,Dung Pham,No Response,5
ACT-01101,CUST-0055,,2025-01-09,WhatsApp,In-person,Khanh Do,Rescheduled,20
ACT-01102,CUST-0292,,2025-08-07,Demo,In-person,Linh Vu,Completed,60
ACT-01103,,LEAD-0207,2025-11-10,Email,Email,Khanh Do,Completed,5
ACT-01104,,LEAD-0029,2024-12-06,WhatsApp,Email,Huy Vo,Completed,15
ACT-01105,CUST-0035,,2025-08-25,Meeting,In-person,Huy Vo,No Response,15
ACT-01106,CUST-0127,,2025-01-08,Email,Email,Chi Le,Completed,20
ACT-01107,CUST-0073,,2024-04-06,Demo,In-person,Huy Vo,Interested,10
ACT-01108,CUST-0277,,2026-04-13,Meeting,In-person,Khanh Do,No Response,45
ACT-01109,,LEAD-0005,2026-04-14,Email,Phone,Chi Le,Follow-up Needed,15
ACT-01110,CUST-0237,,2024-07-02,Demo,In-person,Khanh Do,Interested,60
ACT-01111,CUST-0163,,2024-03-12,Support Follow-up,Zoom,An Nguyen,Completed,10
ACT-01112,,LEAD-0380,2024-11-03,Demo,Phone,Dung Pham,Completed,45
ACT-01113,CUST-0098,,2024-01-08,WhatsApp,Chat,Linh Vu,Completed,5
ACT-01114,CUST-0115,,2025-07-22,Support Follow-up,Email,Linh Vu,Follow-up Needed,20
ACT-01115,CUST-0060,,2024-05-03,WhatsApp,Zoom,Chi Le,Completed,20
ACT-01116,CUST-0200,,2024-07-22,Call,Chat,An Nguyen,Completed,10
ACT-01117,CUST-0025,,2024-05-24,Support Follow-up,Zoom,Chi Le,Completed,15
ACT-01118,CUST-0027,,2024-12-23,Support Follow-up,In-person,Linh Vu,Rescheduled,5
ACT-01119,,LEAD-0438,2024-05-03,Support Follow-up,Chat,Linh Vu,Completed,15
ACT-01120,,LEAD-0445,2024-12-24,Demo,In-person,Linh Vu,Completed,10
ACT-01121,CUST-0194,,2025-06-20,Email,Email,Giang Ho,Follow-up Needed,5
ACT-01122,CUST-0188,,2024-06-04,Email,Zoom,Chi Le,Rescheduled,20
ACT-01123,CUST-0187,,2024-07-19,Demo,Chat,Dung Pham,Rescheduled,15
ACT-01124,CUST-0046,,2025-08-16,Call,Zoom,Dung Pham,Rescheduled,60
ACT-01125,CUST-0011,,2025-01-05,Support Follow-up,Zoom,Linh Vu,Interested,20
ACT-01126,CUST-0059,,2024-12-08,Demo,Chat,Binh Tran,Completed,20
ACT-01127,CUST-0050,,2024-02-14,Call,In-person,Chi Le,Completed,10
ACT-01128,CUST-0069,,2025-02-14,Meeting,Chat,Dung Pham,Interested,30
ACT-01129,,LEAD-0613,2025-04-11,WhatsApp,Email,Dung Pham,Completed,10
ACT-01130,CUST-0046,,2025-09-06,Email,Phone,Giang Ho,Interested,20
ACT-01131,CUST-0130,,2025-01-28,Email,Chat,Khanh Do,Rescheduled,20
ACT-01132,,LEAD-0246,2026-04-11,Email,Phone,Dung Pham,Completed,20
ACT-01133,CUST-0209,,2025-03-09,Meeting,Email,Chi Le,Completed,45
ACT-01134,CUST-0304,,2024-06-19,Support Follow-up,In-person,Chi Le,Completed,5
ACT-01135,,LEAD-0145,2024-01-22,WhatsApp,In-person,An Nguyen,Completed,20
ACT-01136,,LEAD-0328,2024-03-29,WhatsApp,Phone,Huy Vo,Completed,10
ACT-01137,CUST-0059,,2025-02-14,Support Follow-up,Email,An Nguyen,Follow-up Needed,10
ACT-01138,,LEAD-0328,2025-03-06,Support Follow-up,Email,Khanh Do,Interested,10
ACT-01139,,LEAD-0092,2024-02-29,Call,Phone,An Nguyen,No Response,45
ACT-01140,CUST-0034,,2025-07-20,Demo,Chat,Binh Tran,Interested,20
ACT-01141,,LEAD-0545,2024-02-15,Email,Chat,Dung Pham,Completed,15
ACT-01142,CUST-0279,,2025-09-06,Email,Chat,An Nguyen,Interested,10
ACT-01143,CUST-0135,,2025-12-24,Email,In-person,Khanh Do,No Response,10
ACT-01144,,LEAD-0404,2024-06-23,WhatsApp,Phone,Binh Tran,Completed,10
ACT-01145,CUST-0220,,2025-06-16,Call,Zoom,Giang Ho,Follow-up Needed,60
ACT-01146,,LEAD-0469,2024-01-04,Meeting,Email,Binh Tran,Rescheduled,10
ACT-01147,CUST-0179,,2025-11-28,WhatsApp,Email,Dung Pham,Completed,20
ACT-01148,CUST-0104,,2025-09-11,Demo,Chat,Giang Ho,Rescheduled,10
ACT-01149,CUST-0064,,2026-02-03,Meeting,Email,Khanh Do,Interested,30
ACT-01150,,LEAD-0365,2025-10-25,Call,Phone,Khanh Do,Follow-up Needed,30
ACT-01151,CUST-0051,,2025-06-05,Demo,In-person,Khanh Do,Follow-up Needed,15
ACT-01152,CUST-0278,,2026-04-09,Email,In-person,Dung Pham,No Response,15
ACT-01153,CUST-0204,,2026-03-05,Support Follow-up,Email,Linh Vu,Rescheduled,10
ACT-01154,CUST-0095,,2025-03-11,Demo,In-person,Linh Vu,No Response,60
ACT-01155,CUST-0292,,2025-12-17,Support Follow-up,Email,Linh Vu,Interested,5
ACT-01156,,LEAD-0333,2024-06-22,Email,Chat,An Nguyen,No Response,10
